#Line Station NextStation TravelTime(min) PeakMins OffPeakMins Interchange_Point
Blue Dwarka_Sector_21 Dwarka_Sector_8 3 4 8 Yes_(Airport_Express)
Blue Dwarka_Sector_8 Dwarka_Sector_9 2 4 8 No
Blue Dwarka_Sector_9 Dwarka_Sector_10 2 4 8 No
Blue Dwarka_Sector_10 Dwarka_Sector_11 2 4 8 No
Blue Dwarka_Sector_11 Dwarka_Sector_12 2 4 8 No
Blue Dwarka_Sector_12 Dwarka_Sector_13 2 4 8 No
Blue Dwarka_Sector_13 Dwarka_Sector_14 2 4 8 No
Blue Dwarka_Sector_14 Dwarka 2 4 8 No
Blue Dwarka Dwarka_Mor 3 4 8 Yes_(Grey_Line)
Blue Dwarka_Mor Nawada 2 4 8 No
Blue Nawada Uttam_Nagar_West 2 4 8 No
Blue Uttam_Nagar_West Uttam_Nagar_East 2 4 8 No
Blue Uttam_Nagar_East Janakpuri_West 2 4 8 No
Blue Janakpuri_West Janakpuri_East 3 4 8 Yes_(Magenta_Line)
Blue Janakpuri_East Tilak_Nagar 2 4 8 No
Blue Tilak_Nagar Subhash_Nagar 2 4 8 No
Blue Subhash_Nagar Tagore_Garden 2 4 8 No
Blue Tagore_Garden Rajouri_Garden 2 4 8 No
Blue Rajouri_Garden Ramesh_Nagar 3 4 8 Yes_(Pink_Line)
Blue Ramesh_Nagar Moti_Nagar 2 4 8 No
Blue Moti_Nagar Kirti_Nagar 2 4 8 No
Blue Kirti_Nagar Shadipur 3 4 8 Yes_(Green_Line)
Blue Shadipur Patel_Nagar 2 4 8 No
Blue Patel_Nagar Rajendra_Place 2 4 8 No
Blue Rajendra_Place Karol_Bagh 2 4 8 No
Blue Karol_Bagh Jhandewalan 2 4 8 No
Blue Jhandewalan Ramakrishna_Ashram_Marg 2 4 8 No
Blue Ramakrishna_Ashram_Marg Rajiv_Chowk 2 4 8 No
Blue Rajiv_Chowk Barakhamba_Road 3 4 8 Yes_(Yellow_Line)
Blue Barakhamba_Road Mandi_House 2 4 8 No
Blue Mandi_House Supreme_Court 3 4 8 Yes_(Violet_Line)
Blue Supreme_Court Indraprastha 2 4 8 No
Blue Indraprastha Yamuna_Bank 3 4 8 No
Blue Yamuna_Bank Akshardham 4 4 8 Yes_(Vaishali_Branch)
Blue Akshardham Mayur_Vihar-I 3 4 8 No
Blue Mayur_Vihar-I Mayur_Vihar_Extension 3 4 8 Yes_(Pink_Line)
Blue Mayur_Vihar_Extension New_Ashok_Nagar 2 4 8 No
Blue New_Ashok_Nagar Noida_Sector_15 2 4 8 No
Blue Noida_Sector_15 Noida_Sector_16 2 4 8 No
Blue Noida_Sector_16 Noida_Sector_18 2 4 8 No
Blue Noida_Sector_18 Botanical_Garden 2 4 8 No
Blue Botanical_Garden Golf_Course 3 4 8 Yes_(Magenta_Line)
Blue Golf_Course Noida_City_Centre 2 4 8 No
Blue Noida_City_Centre Noida_Sector_34 2 4 8 No
Blue Noida_Sector_34 Noida_Sector_52 2 4 8 No
